Code;Company;Link;"""Market Cap""";"""Last trade""";Change;%Change;Sector;ZW1;ZW2;Ticker JSE;Ticker;Ticker Yahoo
JSE:ACT;"""Afrocentric Investment Corp (JSE:ACT)""";https://www.listcorp.com/jse/act/afrocentric-investment-corp;"""	1261030000""";1,5;0;0;"""Health Care""";"(JSE:ACT)""";(JSE:ACT;JSE:ACT;ACT;ACT.JO
JSE:AHL;"""AH-Vest Limited (JSE:AHL)""";https://www.listcorp.com/jse/ahl/ah-vest-limited;"""	3061070""";0,03;0;0;"""Consumer Goods""";"(JSE:AHL)""";(JSE:AHL;JSE:AHL;AHL;AHL.JO
JSE:AFH;"""Alexander Forbes Group Holdings Limited (JSE:AFH)""";https://www.listcorp.com/jse/afh/alexander-forbes;"""	10978100000""";8,31;-0,21;-2,46;Financials;"(JSE:AFH)""";(JSE:AFH;JSE:AFH;AFH;AFH.JO
JSE:AEL;"""Allied Electronics Corporation (JSE:AEL)""";https://www.listcorp.com/jse/ael/allied-electronics-corporation;"""	8023950000""";19,86;0,4;2,06;Technology;"(JSE:AEL)""";(JSE:AEL;JSE:AEL;AEL;AEL.JO
JSE:APH;"""Alphamin Resources Corporation (JSE:APH)""";https://www.listcorp.com/jse/aph/alphamin-resources-corporation;"""	15030800000""";11,8;0;0;"""Basic Materials""";"(JSE:APH)""";(JSE:APH;JSE:APH;APH;APH.JO
JSE:AGL;"""Anglo American plc (JSE:AGL)""";https://www.listcorp.com/jse/agl/anglo-american-plc;"""	581368000000""";496,15;2,66;0,54;"""Basic Materials""";"(JSE:AGL)""";(JSE:AGL;JSE:AGL;AGL;AGL.JO
JSE:ANG;"""Anglogold Ashanti (JSE:ANG)""";https://www.listcorp.com/jse/ang/anglogold-ashanti;"""	440904000000""";856,24;-17,74;-2,03;"""Basic Materials""";"(JSE:ANG)""";(JSE:ANG;JSE:ANG;ANG;ANG.JO
JSE:ANH;"""Anheuser-Busch Inbev (JSE:ANH)""";https://www.listcorp.com/jse/anh/anheuser-busch-inbev;"""	2297130000000""";1283,69;5,5;0,43;"""Consumer Goods""";"(JSE:ANH)""";(JSE:ANH;JSE:ANH;ANH;ANH.JO
JSE:ACL;"""ArcelorMittal South Africa Limited (JSE:ACL)""";https://www.listcorp.com/jse/acl/arcelormittal-south-africa-limited;"""	1172200000""";1,07;0,04;3,88;"""Basic Materials""";"(JSE:ACL)""";(JSE:ACL;JSE:ACL;ACL;ACL.JO
JSE:ART;"""Argent Industrial Limited (JSE:ART)""";https://www.listcorp.com/jse/art/argent-industrial-limited;"""	1411400000""";25,89;-0,04;-0,15;Industrials;"(JSE:ART)""";(JSE:ART;JSE:ART;ART;ART.JO
JSE:AHA;"""Arrowhead Properties Limited A (JSE:AHA)""";https://www.listcorp.com/jse/aha/arrowhead-properties-limited-a;"""	571367000""";9,11;0;0;Financials;"(JSE:AHA)""";(JSE:AHA;JSE:AHA;AHA;AHA.JO
JSE:AHB;"""Arrowhead Properties Limited B (JSE:AHB)""";https://www.listcorp.com/jse/ahb/arrowhead-properties-limited-b;"""	2428630000""";2,47;0,03;1,23;Financials;"(JSE:AHB)""";(JSE:AHB;JSE:AHB;AHB;AHB.JO
JSE:ASC;"""Ascendis Health Limited (JSE:ASC)""";https://www.listcorp.com/jse/asc/ascendis-health-limited;"""	537599000""";0,85;0;0;"""Health Care""";"(JSE:ASC)""";(JSE:ASC;JSE:ASC;ASC;ASC.JO
JSE:APN;"""Aspen Pharmacare Holdings Limited (JSE:APN)""";https://www.listcorp.com/jse/apn/aspen-pharmacare-holdings;"""	53349500000""";121,54;1,98;1,66;"""Health Care""";"(JSE:APN)""";(JSE:APN;JSE:APN;APN;APN.JO
JSE:ARA;"""Astoria Investments Limited (JSE:ARA)""";https://www.listcorp.com/jse/ara/astoria-investments-limited;"""	418920000""";6,5;-0,25;-3,7;Financials;"(JSE:ARA)""";(JSE:ARA;JSE:ARA;ARA;ARA.JO
JSE:ARL;"""Astral Foods Limited (JSE:ARL)""";https://www.listcorp.com/jse/arl/astral-foods-limited;"""	7716990000""";179,61;-0,18;-0,1;"""Consumer Goods""";"(JSE:ARL)""";(JSE:ARL;JSE:ARL;ARL;ARL.JO
JSE:ATT;"""Attacq Limited (JSE:ATT)""";https://www.listcorp.com/jse/att/attacq-limited;"""	10685600000""";14,45;0,13;0,91;Financials;"(JSE:ATT)""";(JSE:ATT;JSE:ATT;ATT;ATT.JO
