,Ticker,Name,Währung,Börse,Sektor,Branche
144,BIO,"Bio-Rad Laboratories, Inc.",USD,NYQ,Healthcare,Medical Devices
145,BJS,N/A,N/A,YHD,N/A,N/A
146,BK,The Bank of New York Mellon Corporation,USD,NYQ,Financial Services,Banks - Diversified
147,BKB,N/A,N/A,YHD,N/A,N/A
148,BKNG,Booking Holdings Inc.,USD,NMS,Consumer Cyclical,Travel Services
149,BKR,Baker Hughes Company,USD,NMS,Energy,Oil & Gas Equipment & Services
150,BLDR,"Builders FirstSource, Inc.",USD,NYQ,Industrials,Building Products & Equipment
151,BLK,"BlackRock, Inc.",USD,NYQ,Financial Services,Asset Management
152,BLL,N/A,N/A,N/A,N/A,N/A
153,BLS,N/A,N/A,YHD,N/A,N/A
154,BLY,N/A,N/A,NMS,N/A,N/A
155,BMC,N/A,N/A,YHD,N/A,N/A
156,BMET,N/A,N/A,YHD,N/A,N/A
157,BMGCA,N/A,N/A,N/A,N/A,N/A
158,BMS,"Bemis Company, Inc.",N/A,NYQ,N/A,N/A
159,BMY,Bristol-Myers Squibb Company,USD,NYQ,Healthcare,Drug Manufacturers - General
160,BNI,N/A,N/A,YHD,N/A,N/A
161,BNL,"Broadstone Net Lease, Inc.",USD,NYQ,Real Estate,REIT - Diversified
162,BOAT,SonicShares Global Shipping ETF,USD,PCX,N/A,N/A
163,BOL,N/A,N/A,YHD,N/A,N/A
164,BR,"Broadridge Financial Solutions, Inc.",USD,NYQ,Technology,Information Technology Services
165,BRCM,N/A,N/A,YHD,N/A,N/A
166,BRK.B,N/A,N/A,N/A,N/A,N/A
167,BRL,N/A,N/A,YHD,N/A,N/A
168,BRO,"Brown & Brown, Inc.",USD,NYQ,Financial Services,Insurance Brokers
169,BSC,N/A,N/A,YHD,N/A,N/A
170,BSX,Boston Scientific Corporation,USD,NYQ,Healthcare,Medical Devices
171,BT,N/A,N/A,N/A,N/A,N/A
172,BTUUQ,N/A,N/A,YHD,N/A,N/A
173,BUD,Anheuser-Busch InBev SA/NV,USD,NYQ,Consumer Defensive,Beverages - Brewers
174,BVSN,N/A,N/A,N/A,N/A,N/A
175,BWA,BorgWarner Inc.,USD,NYQ,Consumer Cyclical,Auto Parts
176,BX,Blackstone Inc.,USD,NYQ,Financial Services,Asset Management
177,BXLT,N/A,N/A,YHD,N/A,N/A
178,BXP,"BXP, Inc.",USD,NYQ,Real Estate,REIT - Office
179,C,Citigroup Inc.,USD,NYQ,Financial Services,Banks - Diversified
180,CA,Xtrackers California Municipal Bond ETF,USD,NGM,N/A,N/A
181,CAG,"Conagra Brands, Inc.",USD,NYQ,Consumer Defensive,Packaged Foods
182,CAH,"Cardinal Health, Inc.",USD,NYQ,Healthcare,Medical Distribution
183,CAL,"Caleres, Inc.",USD,NYQ,Consumer Cyclical,Apparel Retail
184,CAM,N/A,N/A,YHD,N/A,N/A
185,CAR,"Avis Budget Group, Inc.",USD,NMS,Industrials,Rental & Leasing Services
186,CARR,Carrier Global Corporation,USD,NYQ,Industrials,Building Products & Equipment
187,CAT,Caterpillar Inc.,USD,NYQ,Industrials,Farm & Heavy Construction Machinery
188,CB,Chubb Limited,USD,NYQ,Financial Services,Insurance - Property & Casualty
189,CBB,N/A,N/A,N/A,N/A,N/A
190,CBE,N/A,N/A,YHD,N/A,N/A
191,CBH,N/A,N/A,N/A,N/A,N/A
192,CBOE,"Cboe Global Markets, Inc.",USD,BTS,Financial Services,Financial Data & Stock Exchanges
193,CBRE,"CBRE Group, Inc.",USD,NYQ,Real Estate,Real Estate Services
194,CBS,N/A,N/A,N/A,N/A,N/A
195,CBSS,N/A,N/A,YHD,N/A,N/A
196,CCB,Coastal Financial Corporation,USD,NMS,Financial Services,Banks - Regional
197,CCE,Coca-Cola European Partners plc,N/A,YHD,N/A,N/A
198,CCEP,Coca-Cola Europacific Partners PLC,USD,NMS,Consumer Defensive,Beverages - Non-Alcoholic
199,CCI,Crown Castle Inc.,USD,NYQ,Real Estate,REIT - Specialty
200,CCK,"Crown Holdings, Inc.",USD,NYQ,Consumer Cyclical,Packaging & Containers
201,CCL,Carnival Corporation & plc,USD,NYQ,Consumer Cyclical,Travel Services
202,CCTYQ,N/A,N/A,YHD,N/A,N/A
203,CCU,Compañía Cervecerías Unidas S.A.,USD,NYQ,Consumer Defensive,Beverages - Brewers
204,CDAY,N/A,N/A,N/A,N/A,N/A
205,CDNS,"Cadence Design Systems, Inc.",USD,NMS,Technology,Software - Application
206,CDW,CDW Corporation,USD,NMS,Technology,Information Technology Services
207,CE,Celanese Corporation,USD,NYQ,Basic Materials,Chemicals
208,CEG,Constellation Energy Corporation,USD,NMS,Utilities,Utilities - Renewable
209,CELG,N/A,N/A,N/A,N/A,N/A
210,CEN,N/A,N/A,N/A,N/A,N/A
211,CEPH,N/A,N/A,YHD,N/A,N/A
212,CERN,N/A,N/A,N/A,N/A,N/A
213,CF,"CF Industries Holdings, Inc.",USD,NYQ,Basic Materials,Agricultural Inputs
214,CFC,N/A,N/A,YHD,N/A,N/A
215,CFG,"Citizens Financial Group, Inc.",USD,NYQ,Financial Services,Banks - Regional
216,CFL,N/A,N/A,NMS,N/A,N/A
217,CFN,N/A,N/A,YHD,N/A,N/A
218,CG,The Carlyle Group Inc.,USD,NMS,Financial Services,Asset Management
219,CGP,N/A,N/A,YHD,N/A,N/A
