;Ticker;Name;Währung;Börse;Sektor;Branche
220;SHP.JO;Shoprite Holdings Ltd;ZAc;JNB;Consumer Cyclical;Department Stores
221;SSW.JO;Sibanye Stillwater Limited;ZAc;JNB;Basic Materials;Other Precious Metals & Mining
222;SRE.JO;Sirius Real Estate Limited;ZAc;JNB;Real Estate;Real Estate Services
223;SOH.JO;South Ocean Holdings Limited;ZAc;JNB;Industrials;Electrical Equipment & Parts
224;S32.JO;South32 Limited;ZAc;JNB;Basic Materials;Other Industrial Metals & Mining
225;SDL.JO;Southern Palladium Limited;ZAc;JNB;Basic Materials;Other Precious Metals & Mining
226;SPP.JO;The SPAR Group Ltd;ZAc;JNB;Consumer Defensive;Food Distribution
227;SEA.JO;Spear Reit Limited;ZAc;JNB;Real Estate;REIT - Diversified
228;SUR.JO;Spur Corporation Ltd;ZAc;JNB;Consumer Cyclical;Restaurants
229;SDO.JO;Stadio Holdings Limited;ZAc;JNB;Consumer Defensive;Education & Training Services
230;SBK.JO;Standard Bank Group Limited;ZAc;JNB;Financial Services;Banks - Regional
231;SSK.JO;Stefanutti Stocks Holdings Limited;ZAc;JNB;Industrials;Engineering & Construction
232;SSS.JO;Stor-Age Property REIT Limited;ZAc;JNB;Real Estate;REIT - Industrial
233;SUI.JO;Sun International Limited;ZAc;JNB;Consumer Cyclical;Resorts & Casinos
234;SPG.JO;Super Group Limited;ZAc;JNB;Industrials;Integrated Freight & Logistics
235;SRI.JO;N/A;ZAc;JNB;;
236;SYG.JO;Sygnia Limited;ZAc;JNB;Financial Services;Financial Conglomerates
237;TLM.JO;TeleMasters Holdings Limited;ZAc;JNB;Communication Services;Telecom Services
238;TKG.JO;Telkom SA SOC Ltd;ZAc;JNB;Communication Services;Telecom Services
239;TEX.JO;Texton Property Fund Limited;ZAc;JNB;Real Estate;REIT - Office
240;THA.JO;Tharisa plc;ZAc;JNB;Basic Materials;Other Precious Metals & Mining
241;TFG.JO;The Foschini Group Limited;ZAc;JNB;Consumer Cyclical;Department Stores
242;TGA.JO;Thungela Resources Limited;ZAc;JNB;Energy;Thermal Coal
243;TBS.JO;Tiger Brands Limited;ZAc;JNB;Consumer Defensive;Packaged Foods
244;TON.JO;Tongaat Hulett Limited;ZAc;JNB;Consumer Defensive;Confectioners
245;CPP.JO;Collins Property Group Limited;ZAc;JNB;Real Estate;Real Estate Services
246;TCP.JO;N/A;N/A;N/A;N/A;N/A
247;TPC.JO;Transpaco Limited;ZAc;JNB;Consumer Cyclical;Packaging & Containers
248;TRL.JO;Trellidor Holdings Limited;ZAc;JNB;Industrials;Security & Protection Services
249;TMT.JO;Trematon Capital Investments Limited;ZAc;JNB;Real Estate;Real Estate Services
