,Ticker,Name,Währung,Börse,Sektor,Branche
122,BAX,Baxter International Inc.,USD,NYQ,Healthcare,Medical Instruments & Supplies
123,BAY,N/A,N/A,YHD,N/A,N/A
124,BBBY,N/A,N/A,N/A,N/A,N/A
125,BBI,N/A,N/A,N/A,N/A,N/A
126,BBT,N/A,N/A,N/A,N/A,N/A
127,BBWI,"Bath & Body Works, Inc.",USD,NYQ,Consumer Cyclical,Specialty Retail
128,BBY,"Best Buy Co., Inc.",USD,NYQ,Consumer Cyclical,Specialty Retail
129,BC,Brunswick Corporation,USD,NYQ,Consumer Cyclical,Recreational Vehicles
130,BCO,The Brink's Company,USD,NYQ,Industrials,Security & Protection Services
131,BCR,N/A,N/A,YHD,N/A,N/A
132,BDK,N/A,N/A,YHD,N/A,N/A
133,BDX,"Becton, Dickinson and Company",USD,NYQ,Healthcare,Medical Instruments & Supplies
134,BEAM,Beam Therapeutics Inc.,USD,NMS,Healthcare,Biotechnology
135,BEN,"Franklin Resources, Inc.",USD,NYQ,Financial Services,Asset Management
136,BEV,N/A,N/A,YHD,N/A,N/A
137,BF.B,N/A,N/A,YHD,N/A,N/A
138,BFI,"BurgerFi International, Inc.",USD,NCM,Consumer Cyclical,Restaurants
139,BFO,N/A,N/A,N/A,N/A,N/A
140,BG,Bunge Global SA,USD,NYQ,Consumer Defensive,Farm Products
141,BGEN,N/A,N/A,YHD,N/A,N/A
142,BGG,N/A,N/A,N/A,N/A,N/A
143,BHF,"Brighthouse Financial, Inc.",USD,NMS,Financial Services,Insurance - Life
144,BHGE,N/A,N/A,N/A,N/A,N/A
145,BHMSQ,N/A,N/A,YHD,N/A,N/A
146,BIG,N/A,N/A,NYQ,N/A,N/A
147,BIIB,Biogen Inc.,USD,NMS,Healthcare,Drug Manufacturers - General
148,BIO,"Bio-Rad Laboratories, Inc.",USD,NYQ,Healthcare,Medical Devices
149,BJS,N/A,N/A,YHD,N/A,N/A
150,BK,The Bank of New York Mellon Corporation,USD,NYQ,Financial Services,Banks - Diversified
151,BKB,N/A,N/A,YHD,N/A,N/A
152,BKNG,Booking Holdings Inc.,USD,NMS,Consumer Cyclical,Travel Services
153,BKR,Baker Hughes Company,USD,NMS,Energy,Oil & Gas Equipment & Services
154,BLDR,"Builders FirstSource, Inc.",USD,NYQ,Industrials,Building Products & Equipment
155,BLK,"BlackRock, Inc.",USD,NYQ,Financial Services,Asset Management
156,BLL,N/A,N/A,N/A,N/A,N/A
157,BLS,N/A,N/A,YHD,N/A,N/A
158,BLY,N/A,N/A,NMS,N/A,N/A
159,BMC,N/A,N/A,YHD,N/A,N/A
160,BMET,N/A,N/A,YHD,N/A,N/A
161,BMGCA,N/A,N/A,N/A,N/A,N/A
162,BMS,"Bemis Company, Inc.",N/A,NYQ,N/A,N/A
163,BMY,Bristol-Myers Squibb Company,USD,NYQ,Healthcare,Drug Manufacturers - General
164,BNI,N/A,N/A,YHD,N/A,N/A
165,BNL,"Broadstone Net Lease, Inc.",USD,NYQ,Real Estate,REIT - Diversified
166,BOAT,SonicShares Global Shipping ETF,USD,PCX,N/A,N/A
167,BOL,N/A,N/A,YHD,N/A,N/A
168,BR,"Broadridge Financial Solutions, Inc.",USD,NYQ,Technology,Information Technology Services
169,BR,"Broadridge Financial Solutions, Inc.",USD,NYQ,Technology,Information Technology Services
170,BRCM,N/A,N/A,YHD,N/A,N/A
171,BRK.B,N/A,N/A,N/A,N/A,N/A
172,BRL,N/A,N/A,YHD,N/A,N/A
173,BRO,"Brown & Brown, Inc.",USD,NYQ,Financial Services,Insurance Brokers
174,BSC,N/A,N/A,YHD,N/A,N/A
175,BSX,Boston Scientific Corporation,USD,NYQ,Healthcare,Medical Devices
176,BT,N/A,N/A,N/A,N/A,N/A
177,BTUUQ,N/A,N/A,YHD,N/A,N/A
178,BUD,Anheuser-Busch InBev SA/NV,USD,NYQ,Consumer Defensive,Beverages - Brewers
179,BVSN,N/A,N/A,N/A,N/A,N/A
180,BWA,BorgWarner Inc.,USD,NYQ,Consumer Cyclical,Auto Parts
181,BX,Blackstone Inc.,USD,NYQ,Financial Services,Asset Management
182,BXLT,N/A,N/A,YHD,N/A,N/A
183,BXP,"BXP, Inc.",USD,NYQ,Real Estate,REIT - Office
184,C,Citigroup Inc.,USD,NYQ,Financial Services,Banks - Diversified
185,CA,Xtrackers California Municipal Bond ETF,USD,NGM,N/A,N/A
186,CAG,"Conagra Brands, Inc.",USD,NYQ,Consumer Defensive,Packaged Foods
187,CAH,"Cardinal Health, Inc.",USD,NYQ,Healthcare,Medical Distribution
188,CAL,"Caleres, Inc.",USD,NYQ,Consumer Cyclical,Apparel Retail
189,CAM,N/A,N/A,YHD,N/A,N/A
190,CAR,"Avis Budget Group, Inc.",USD,NMS,Industrials,Rental & Leasing Services
191,CARR,Carrier Global Corporation,USD,NYQ,Industrials,Building Products & Equipment
192,CAT,Caterpillar Inc.,USD,NYQ,Industrials,Farm & Heavy Construction Machinery
193,CB,Chubb Limited,USD,NYQ,Financial Services,Insurance - Property & Casualty
194,CBB,N/A,N/A,NYQ,N/A,N/A
195,CBE,N/A,N/A,YHD,N/A,N/A
196,CBE,N/A,N/A,YHD,N/A,N/A
197,CBH,N/A,N/A,N/A,N/A,N/A
198,CBOE,"Cboe Global Markets, Inc.",USD,BTS,Financial Services,Financial Data & Stock Exchanges
199,CBRE,"CBRE Group, Inc.",USD,NYQ,Real Estate,Real Estate Services
200,CBS,N/A,N/A,N/A,N/A,N/A
201,CBSS,N/A,N/A,YHD,N/A,N/A
202,CCB,Coastal Financial Corporation,USD,NMS,Financial Services,Banks - Regional
203,CCE,Coca-Cola European Partners plc,N/A,YHD,N/A,N/A
204,CCEP,Coca-Cola Europacific Partners PLC,USD,NMS,Consumer Defensive,Beverages - Non-Alcoholic
205,CCI,Crown Castle Inc.,USD,NYQ,Real Estate,REIT - Specialty
206,CCI,Crown Castle Inc.,USD,NYQ,Real Estate,REIT - Specialty
207,CCK,"Crown Holdings, Inc.",USD,NYQ,Consumer Cyclical,Packaging & Containers
208,CCL,Carnival Corporation & plc,USD,NYQ,Consumer Cyclical,Travel Services
209,CCTYQ,N/A,N/A,YHD,N/A,N/A
210,CCU,Compañía Cervecerías Unidas S.A.,USD,NYQ,Consumer Defensive,Beverages - Brewers
211,CDAY,N/A,N/A,N/A,N/A,N/A
212,CDNS,"Cadence Design Systems, Inc.",USD,NMS,Technology,Software - Application
213,CDW,CDW Corporation,USD,NMS,Technology,Information Technology Services
214,CE,Celanese Corporation,USD,NYQ,Basic Materials,Chemicals
215,CE,Celanese Corporation,USD,NYQ,Basic Materials,Chemicals
216,CEG,Constellation Energy Corporation,USD,NMS,Utilities,Utilities - Renewable
217,CEG,Constellation Energy Corporation,USD,NMS,Utilities,Utilities - Renewable
218,CELG,N/A,N/A,N/A,N/A,N/A
219,CEN,N/A,N/A,N/A,N/A,N/A
220,CEPH,N/A,N/A,YHD,N/A,N/A
221,CERN,N/A,N/A,N/A,N/A,N/A
222,CF,"CF Industries Holdings, Inc.",USD,NYQ,Basic Materials,Agricultural Inputs
223,CF,"CF Industries Holdings, Inc.",USD,NYQ,Basic Materials,Agricultural Inputs
224,CFC,N/A,N/A,YHD,N/A,N/A
225,CFG,"Citizens Financial Group, Inc.",USD,NYQ,Financial Services,Banks - Regional
226,CFL,N/A,N/A,NMS,N/A,N/A
227,CFN,N/A,N/A,YHD,N/A,N/A
228,CG,The Carlyle Group Inc.,USD,NMS,Financial Services,Asset Management
229,CGP,N/A,N/A,YHD,N/A,N/A
230,CHA,Chagee Holdings Limited,USD,NMS,Consumer Cyclical,Restaurants
231,CHD,"Church & Dwight Co., Inc.",USD,NYQ,Consumer Defensive,Household & Personal Products
232,CHIR,Global X MSCI China Real Estate ETF,USD,PCX,N/A,N/A
233,CHK,N/A,N/A,N/A,N/A,N/A
234,CHRS,"Coherus Oncology, Inc.",USD,NGM,Healthcare,Biotechnology
235,CHRW,"C.H. Robinson Worldwide, Inc.",USD,NMS,Industrials,Integrated Freight & Logistics
236,CHTR,"Charter Communications, Inc.",USD,NMS,Communication Services,Telecom Services
237,CI,The Cigna Group,USD,NYQ,Healthcare,Healthcare Plans
238,CIEN,Ciena Corporation,USD,NYQ,Technology,Communication Equipment
239,CIN,N/A,N/A,YHD,N/A,N/A
240,CINF,Cincinnati Financial Corporation,USD,NMS,Financial Services,Insurance - Property & Casualty
241,CIT.A,N/A,N/A,N/A,N/A,N/A
242,CITGQ,N/A,N/A,N/A,N/A,N/A
243,CL,Colgate-Palmolive Company,USD,NYQ,Consumer Defensive,Household & Personal Products
244,CLF,Cleveland-Cliffs Inc.,USD,NYQ,Basic Materials,Steel
245,CLX,The Clorox Company,USD,NYQ,Consumer Defensive,Household & Personal Products
246,CMA,Comerica Incorporated,USD,NYQ,Financial Services,Banks - Regional
247,CMB,N/A,N/A,YHD,N/A,N/A
248,CMCSA,Comcast Corporation,USD,NMS,Communication Services,Telecom Services
249,CMCSK,N/A,N/A,YHD,N/A,N/A
250,CME,CME Group Inc.,USD,NMS,Financial Services,Financial Data & Stock Exchanges
251,CMG,"Chipotle Mexican Grill, Inc.",USD,NYQ,Consumer Cyclical,Restaurants
252,CMI,Cummins Inc.,USD,NYQ,Industrials,Specialty Industrial Machinery
253,CMS,CMS Energy Corporation,USD,NYQ,Utilities,Utilities - Regulated Electric
254,CMVT,N/A,N/A,YHD,N/A,N/A
255,CMX,N/A,N/A,YHD,N/A,N/A
256,CNC,Centene Corporation,USD,NYQ,Healthcare,Healthcare Plans
257,CNC,Centene Corporation,USD,NYQ,Healthcare,Healthcare Plans
258,CNG,N/A,N/A,YHD,N/A,N/A
259,CNP,"CenterPoint Energy, Inc.",USD,NYQ,Utilities,Utilities - Regulated Electric
260,CNW,N/A,N/A,YHD,N/A,N/A
261,CNX,CNX Resources Corporation,USD,NYQ,Energy,Oil & Gas E&P
262,CNXT,VanEck ChiNext ETF,USD,PCX,N/A,N/A
263,COC.B,N/A,N/A,YHD,N/A,N/A
264,COF,Capital One Financial Corporation,USD,NYQ,Financial Services,Credit Services
265,COG,N/A,N/A,NYQ,N/A,N/A
266,COL,"Rockwell Collins, Inc.",N/A,YHD,N/A,N/A
267,COMS,COMSovereign Holding Corp.,USD,OEM,Technology,Communication Equipment
268,COO,"The Cooper Companies, Inc.",USD,NMS,Healthcare,Medical Instruments & Supplies
269,COP,ConocoPhillips,USD,NYQ,Energy,Oil & Gas E&P
270,COR,"Cencora, Inc.",USD,NYQ,Healthcare,Medical Distribution
